Transaction_id,Customer_id ,Account_id,Transaction_id,Transaction_type,Amount,Currency,Description,Account_type,Country_code
,,,,,,,,,
T001,C101,A001,05-01-2024,DEBIT,150.75,USD,Online Purchase,Saving,USA
T002,C102,A002,06-01-2024,CREDIT,500,USD,Salary Deposit,Checking,USA
T003,C103,A003,07-01-2024,DEBIT,25,EUR,Coffee Shop,Current,DEU
T004,C101,A001,08-01-2024,DEBIT,NULL,USD,ATM Withdrawal,Savings,GB
T005,C104,A004,09-01-2024,CREDIT,1200.5,INR,Freelance Payment,Savings,IN
T006,C105,A005,10-01-2024,DEBIT,80.2,GBP,Grocery Store,CreditCard,UK
T007,C102,A002,11-01-2024,DEBIT,75,USD,Small Purchase,Checking,CA
T008,C106,A006,12-01-2025,CREDIT,2000,AUD,Investment Dividend,Saving,AUS
T009,C107,A007,13-01-2024,DEBIT,5,USD,App Subscription,Loan,USA
T010,C103,A003,14-01-2024,CREDIT,300,EUR,Refund,Checking,Germany
T011,C108,A008,15-01-2024,DEBIT,9999.99,USD,Car Payment,Checking,USA
T012,C101,A001,16-01-2024,DEBIT,45.1,USD,NULL,Saving,GB
T013,C109,A009,17-01-2024,CREDIT,NULL,INR,Loan Disbursal,Saving,IN
T014,C110,A010,18-01-2024,DEBIT,750,CAD,Rent Payment,Unknown_type,CA
T015,C104,A004,19-01-2024,DEBIT,15.5,INR,Online Game,Savings,IN
T016,C111,A011,20-01-2024,CREDIT,50,USD,Gift,CreditCard,USA
T017,C105,A005,21-01-2024,DEBIT,12345.67,GBP,International Transfer,Current,GB
T018,C106,A006,22-01-2024,DEBIT,9.99,AUD,Small Purchase,Saving,AUS
T019,C112,A012,23-01-2024,CREDIT,2500,USD,Bonus,Saving,USA
T020,C107,A007,24-01-2024,DEBIT,200,EUR,Travel Expense,Loan,DEU
